18575136;53108111;2016;1;1/12/2016 8:30;1/17/2016 22:41;1165;219;Singapore;Fremantle;1;1;367388;Kota Lambai;fully cellular containership;50596;5.590972222
18813076;53246086;2016;1;1/24/2016 1:09;1/29/2016 15:21;2978;115;Colombo;Port Klang;1;1;5050884;;fully cellular containership;50595;5.591666667
18248835;45969658;2014;4;4/18/2014 0:17;4/23/2014 14:29;2204;4977;Lazaro Cardenas;Los Angeles;1;1;306482;Cap Bianco;fully cellular containership;31627;5.591666667
18635041;46512318;2014;6;6/10/2014 14:56;6/16/2014 5:08;5676;1697;Rauma;Bremerhaven;1;1;378394;Heinrich Ehler;fully cellular containership;17861;5.591666667
18063616;49880350;2015;4;4/17/2015 3:23;4/22/2015 17:35;1182;3529;Shanghai;Ho Chi Minh City;1;1;272803;Hammonia Gallicum;fully cellular containership;34671;5.591666667
18717883;50516091;2015;6;6/9/2015 18:07;6/15/2015 8:19;7606;2369;Tauranga;Papeete;1;1;668899;;fully cellular containership;42011;5.591666667
18215442;56820570;2016;11;11/20/2016 1:00;11/25/2016 15:12;3529;2605;Ho Chi Minh City;Bangkok;1;1;291646;Akari;fully cellular containership;17785;5.591666667
18916462;56795603;2016;11;11/20/2016 17:58;11/26/2016 8:10;3444;5295;Nakhodka;Busan;1;1;11333908;;fully cellular containership;112729;5.591666667
18865462;48818412;2015;1;1/7/2015 4:44;1/12/2015 18:57;2978;185;Colombo;Jebel Ali;1;1;10599169;;fully cellular containership;104216;5.592361111
18701347;53243399;2016;1;1/24/2016 1:21;1/29/2016 15:34;2815;1182;Gwangyang;Shanghai;1;1;610765;;fully cellular containership;118888;5.592361111
18665108;56858084;2016;11;11/23/2016 12:20;11/29/2016 2:33;2992;2491;Abidjan;Pointe Noire(COG);1;1;400653;;fully cellular containership;52427;5.592361111
18540830;48859398;2015;1;1/10/2015 18:42;1/16/2015 8:55;8640;1165;Nansha;Singapore;1;1;364091;Kota Laju;fully cellular containership;50525;5.592361111
18690544;50383329;2015;6;5/28/2015 23:17;6/3/2015 13:30;1747;4604;Khor Fakkan;Jeddah;1;1;544123;;fully cellular containership;83319;5.592361111
17993954;52466461;2015;11;11/15/2015 21:47;11/21/2015 12:00;2828;1231;Karachi;New Mangalore;1;1;234727;OEL Trust;fully cellular containership;14313;5.592361111
18613593;54965864;2016;6;6/21/2016 1:59;6/26/2016 16:12;1504;670;Kaohsiung;Surabaya;1;1;372301;TS Singapore;fully cellular containership;34361;5.592361111
18744538;48107161;2014;11;10/31/2014 3:00;11/5/2014 17:14;1828;3456;Le Havre;Marsaxlokk;1;1;759788;;fully cellular containership;141141;5.593055556
18508736;48349227;2014;11;11/20/2014 20:10;11/26/2014 10:24;1165;1504;Singapore;Kaohsiung;1;1;360781;Maersk Semarang;fully cellular containership;108448;5.593055556
18022983;49842079;2015;4;4/13/2015 15:07;4/19/2015 5:21;722;5295;Pyeongtaek;Busan;1;1;257277;Xiang Xiu;fully cellular containership;5658;5.593055556
18086924;52549499;2015;11;11/22/2015 0:42;11/27/2015 14:56;9692;15856;Yangshan;Tianjin;1;1;275281;Zhong Yuan Qing Dao;fully cellular containership;69285;5.593055556
18934998;48843162;2015;1;1/9/2015 17:56;1/15/2015 8:10;3164;9692;Hong Kong;Yangshan;1;1;12077838;;fully cellular containership;112233;5.593055556
18171772;49928801;2015;4;4/20/2015 13:32;4/26/2015 3:46;3595;1847;Alexandria(EGY);El Dekheila;1;1;280959;Maersk Ahram;fully cellular containership;17728;5.593055556
17997965;50562818;2015;6;6/13/2015 0:37;6/18/2015 14:51;3456;4247;Marsaxlokk;Lisbon;1;1;237220;Thies Maersk;fully cellular containership;21825;5.593055556
